LC,2222221,pepe,argento,bryanbattagliese@gmail.com,01/08/2024,DINERO,5000
LC,2222221,pepe,argento,bryanbattagliese@gmail.com,02/08/2024,DONACION_VIANDAS,5
DNI,2222223,moni,argento,bryanbattagliese@gmail.com,03/08/2024,DONACION_VIANDAS,3
LE,2222224,coqui,argento,bryanbattagliese@gmail.com,04/08/2024,REDISTRIBUCION_VIANDAS,2
LC,2222222,paola,argento,bryanbattagliese@gmail.com,05/08/2024,ENTREGA_TARJETAS,4
LE,2222229,dardo,fuseneco,bryanbattagliese@gmail.com,06/08/2024,DINERO,7599
DNI,2222225,mariaelena,fuseneco,bryanbattagliese@gmail.com,07/08/2024,DONACION_VIANDAS,5
LE,2222224,coqui,argento,bryanbattagliese@gmail.com,08/08/2024,DONACION_VIANDAS,3
LC,2222221,pepe,argento,bryanbattagliese@gmail.com,09/08/2024,REDISTRIBUCION_VIANDAS,2
DNI,2222225,mariaelena,fuseneco,bryanbattagliese@gmail.com,10/08/2024,ENTREGA_TARJETAS,4
